# Time (s), Heater (%), T1 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,2.486199999999999832e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.508800000000000097e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.508800000000000097e+01
3.009999999999999787e+00,0.000000000000000000e+00,2.508800000000000097e+01
4.000000000000000000e+00,0.000000000000000000e+00,2.508800000000000097e+01
5.000000000000000000e+00,0.000000000000000000e+00,2.541000000000000014e+01
6.000000000000000000e+00,0.000000000000000000e+00,2.541000000000000014e+01
7.009999999999999787e+00,0.000000000000000000e+00,2.541000000000000014e+01
8.000000000000000000e+00,0.000000000000000000e+00,2.541000000000000014e+01
9.000000000000000000e+00,0.000000000000000000e+00,2.541000000000000014e+01
1.000999999999999979e+01,8.000000000000000000e+01,2.560399999999999920e+01
1.100000000000000000e+01,8.000000000000000000e+01,2.569999999999999929e+01
1.200000000000000000e+01,8.000000000000000000e+01,2.544200000000000017e+01
1.300000000000000000e+01,8.000000000000000000e+01,2.576500000000000057e+01
1.400000000000000000e+01,8.000000000000000000e+01,2.573199999999999932e+01
1.500999999999999979e+01,8.000000000000000000e+01,2.576500000000000057e+01
1.600000000000000000e+01,8.000000000000000000e+01,2.576500000000000057e+01
1.700000000000000000e+01,8.000000000000000000e+01,2.576500000000000057e+01
1.800000000000000000e+01,8.000000000000000000e+01,2.595799999999999841e+01
1.900000000000000000e+01,8.000000000000000000e+01,2.602199999999999847e+01
2.000000000000000000e+01,8.000000000000000000e+01,2.605499999999999972e+01
2.100000000000000000e+01,8.000000000000000000e+01,2.605499999999999972e+01
2.200000000000000000e+01,8.000000000000000000e+01,2.631299999999999883e+01
2.300000000000000000e+01,8.000000000000000000e+01,2.634499999999999886e+01
2.400000000000000000e+01,8.000000000000000000e+01,2.644099999999999895e+01
2.500000000000000000e+01,8.000000000000000000e+01,2.663500000000000156e+01
2.600000000000000000e+01,8.000000000000000000e+01,2.666700000000000159e+01
2.700000000000000000e+01,8.000000000000000000e+01,2.676399999999999935e+01
2.800000000000000000e+01,8.000000000000000000e+01,2.705399999999999849e+01
2.900000000000000000e+01,8.000000000000000000e+01,2.705399999999999849e+01
3.000000000000000000e+01,8.000000000000000000e+01,2.727899999999999991e+01
3.100000000000000000e+01,8.000000000000000000e+01,2.737600000000000122e+01
3.200000000000000000e+01,8.000000000000000000e+01,2.750499999999999901e+01
3.300999999999999801e+01,8.000000000000000000e+01,2.766600000000000037e+01
3.400000000000000000e+01,8.000000000000000000e+01,2.789199999999999946e+01
3.500000000000000000e+01,8.000000000000000000e+01,2.798799999999999955e+01
3.600000000000000000e+01,8.000000000000000000e+01,2.824599999999999866e+01
3.700000000000000000e+01,8.000000000000000000e+01,2.834299999999999997e+01
3.800000000000000000e+01,8.000000000000000000e+01,2.850400000000000134e+01
3.900000000000000000e+01,8.000000000000000000e+01,2.866499999999999915e+01
4.000000000000000000e+01,8.000000000000000000e+01,2.889099999999999824e+01
4.100000000000000000e+01,8.000000000000000000e+01,2.895499999999999829e+01
4.200000000000000000e+01,8.000000000000000000e+01,2.927700000000000102e+01
4.300000000000000000e+01,8.000000000000000000e+01,2.914799999999999969e+01
4.400000000000000000e+01,8.000000000000000000e+01,2.960000000000000142e+01
4.500000000000000000e+01,8.000000000000000000e+01,2.966400000000000148e+01
4.600000000000000000e+01,8.000000000000000000e+01,2.966400000000000148e+01
4.700000000000000000e+01,8.000000000000000000e+01,3.021199999999999974e+01
4.800000000000000000e+01,8.000000000000000000e+01,3.043799999999999883e+01
4.900000000000000000e+01,8.000000000000000000e+01,3.056599999999999895e+01
5.000000000000000000e+01,8.000000000000000000e+01,3.085600000000000165e+01
5.100999999999999801e+01,8.000000000000000000e+01,3.088899999999999935e+01
5.200000000000000000e+01,8.000000000000000000e+01,3.121099999999999852e+01
5.300000000000000000e+01,8.000000000000000000e+01,3.121099999999999852e+01
5.400000000000000000e+01,8.000000000000000000e+01,3.156500000000000128e+01
5.500000000000000000e+01,8.000000000000000000e+01,3.179100000000000037e+01
5.600000000000000000e+01,8.000000000000000000e+01,3.188800000000000168e+01
5.700999999999999801e+01,8.000000000000000000e+01,3.217799999999999727e+01
5.800000000000000000e+01,8.000000000000000000e+01,3.233899999999999864e+01
5.900999999999999801e+01,8.000000000000000000e+01,3.253199999999999648e+01
6.000000000000000000e+01,8.000000000000000000e+01,3.282200000000000273e+01
6.100000000000000000e+01,8.000000000000000000e+01,3.288700000000000045e+01
6.200000000000000000e+01,8.000000000000000000e+01,3.304800000000000182e+01
6.300000000000000000e+01,8.000000000000000000e+01,3.314500000000000313e+01
6.400000000000000000e+01,8.000000000000000000e+01,3.356300000000000239e+01
6.500000000000000000e+01,8.000000000000000000e+01,3.375699999999999790e+01
6.600000000000000000e+01,8.000000000000000000e+01,3.398199999999999932e+01
6.700000000000000000e+01,8.000000000000000000e+01,3.407900000000000063e+01
6.800000000000000000e+01,8.000000000000000000e+01,3.427199999999999847e+01
6.900000000000000000e+01,8.000000000000000000e+01,3.443399999999999750e+01
7.000000000000000000e+01,8.000000000000000000e+01,3.475600000000000023e+01
7.100000000000000000e+01,8.000000000000000000e+01,3.510999999999999943e+01
7.200000000000000000e+01,8.000000000000000000e+01,3.510999999999999943e+01
7.300000000000000000e+01,8.000000000000000000e+01,3.543299999999999983e+01
7.400000000000000000e+01,8.000000000000000000e+01,3.562599999999999767e+01
7.500000000000000000e+01,8.000000000000000000e+01,3.575500000000000256e+01
7.600000000000000000e+01,8.000000000000000000e+01,3.597999999999999687e+01
7.700000000000000000e+01,8.000000000000000000e+01,3.623799999999999955e+01
7.800000000000000000e+01,8.000000000000000000e+01,3.639900000000000091e+01
7.900000000000000000e+01,8.000000000000000000e+01,3.662500000000000000e+01
8.000000000000000000e+01,8.000000000000000000e+01,3.675399999999999778e+01
8.100000000000000000e+01,8.000000000000000000e+01,3.691499999999999915e+01
8.200000000000000000e+01,8.000000000000000000e+01,3.704399999999999693e+01
8.300000000000000000e+01,8.000000000000000000e+01,3.733400000000000318e+01
8.400000000000000000e+01,8.000000000000000000e+01,3.762400000000000233e+01
8.500000000000000000e+01,8.000000000000000000e+01,3.772099999999999653e+01
8.600000000000000000e+01,8.000000000000000000e+01,3.797899999999999920e+01
