# Time (s),Q1 (%),T1 Setpoint (°C),T1 (°C),Q2 (%),T2 Setpoint (°C),T2 (°C)
0.000000000000000000e+00,1.876207500000002781e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
1.129999999999999893e+00,1.910963475000002987e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
2.080000000000000071e+00,1.940183100000002980e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.062719999999999843e+01
3.149999999999999911e+00,2.268336540000001733e+01,2.300000000000000000e+01,2.062719999999999843e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
4.169999999999999929e+00,2.009639190000002884e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
5.099999999999999645e+00,2.038243665000003091e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
6.250000000000000000e+00,2.073614790000003083e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
7.209999999999999964e+00,2.103141990000003148e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.094949999999999690e+01
8.220000000000000639e+00,2.134207065000003212e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.127179999999999893e+01
9.160000000000000142e+00,2.163119115000003134e+01,2.300000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.127179999999999893e+01
1.023000000000000043e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.127179999999999893e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.127179999999999893e+01
1.119999999999999929e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.094949999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.127179999999999893e+01
1.223000000000000043e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.127179999999999893e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.159409999999999741e+01
1.322000000000000064e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.127179999999999893e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.159409999999999741e+01
1.406000000000000050e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.127179999999999893e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.159409999999999741e+01
1.525999999999999979e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.159409999999999741e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.191639999999999944e+01
1.621000000000000085e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.159409999999999741e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.191639999999999944e+01
1.719999999999999929e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.191639999999999944e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.223869999999999791e+01
1.819999999999999929e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.191639999999999944e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.223869999999999791e+01
1.921999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.223869999999999791e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.256099999999999994e+01
